,id_orig,year_orig,year,author_orig,author,title_orig,title,genre,source,title_short
31,SC0126,1794,1788,Rowson Mrs,"Rowson, Mrs.",The inquisitor or Invisible rambler In three volumes By Mrs Rowson author of Victoria Volume I III,"The inquisitor; or, Invisible rambler. In three volumes. By Mrs. Rowson, author of Victoria. Volume I[-III].",Gothic,,The inquisitor
33,SC0031,1788,1788,"Shelley, Mary Wollstonecraft","Shelley, Mary Wollstonecraft",Mary A Fiction,"Mary, A Fiction.",,,Mary
36,SC0230,1799,1788,Smith Charlotte Turner,"Smith, Charlotte Turner",Emmeline the orphan of the castle By Charlotte Smith In three volumes,"Emmeline, the Orphan of the Castle. By Charlotte Smith. In Four Volumes.",Gothic,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.","Emmeline, the Orphan of the Castle"
37,SC0034,1788,1788,Thomson Mrs,"Thomson, Mrs.",Fatal follies or the history of the Countess of Stanmore In four volumes,"Fatal follies: or, the history of the Countess of Stanmore. In four volumes. ...",Epistolary,,Fatal follies
38,SC0037,1788,1788,Unknown,Unknown,The school for fathers or the victim of a curse A novel Containing authentic memoirs and anecdotes with historical facts In three volumes,"The school for fathers; or, the victim of a curse. A novel. Containing authentic memoirs and anecdotes, with historical facts. In three volumes. ...",,,The school for fathers
39,SC0038,1788,1788,Unknown,Unknown,The widow of Kent or the history of Mrs Rowley A novel In two volumes,"The widow of Kent; or, the history of Mrs. Rowley. A novel. In two volumes. ...",,,The widow of Kent
40,SC0072,1790,1788,Unknown,Unknown,The maid of Kent,"The widow of Kent; or, the history of Mrs. Rowley. A novel. In two volumes. ...",,,The widow of Kent
41,SC0039,1789,1789,"Bennett, Agnes Maria","Bennett, Anna Maria",Agnes de Courci a domestic tale In four volumes By Mrs Bennett,"Agnes de-Courci, a domestic tale. In four volumes. ... By Mrs. Bennett, ...",,,Agnes de-Courci
42,SC0040,1789,1789,"Bennett, Agnes Maria","Bennett, Anna Maria",Agnes de Courci a domestic tale In two volumes By Mrs Bennett,"Agnes de-Courci, a domestic tale. In four volumes. ... By Mrs. Bennett, ...",,,Agnes de-Courci
43,SC0043,1789,1786,Harley M Mrs,"Harley, M., Mrs.",Priory of St Bernard an old English tale in two volumes being the first literary production of a young lady,St. Bernard's priory. An old English tale; being the first literary production of a young lady.,Gothic,,St Bernard's priory
44,SC0044,1789,1789,Hilditch Ann,"Hilditch, Ann",Rosenberg a legendary tale By a lady,Rosenberg: a legendary tale. By a lady. ...,Gothic,,Rosenberg
46,SC0343,1810,1789,Moore John 1729 1802,"Moore, John",Zeluco various views of human nature taken from life and manners foreign and domestic,"Zeluco. Various views of human nature, taken from life and manners, foreign and domestic. In two volumes. ...",Gothic,,Zeluco
47,SC0047,1789,1789,Nicholson,Nicholson,The solitary castle a romance of the eighteenth century By the author of The village of Martindale,"The solitary castle, a romance of the eighteenth century. By the author of The village of Martindale. ...",Gothic,,The solitary castle
49,SC0106,1793,1789,"Radcliffe, Ann Ward","Radcliffe, Ann Ward",The Castles of Athlin and Dunbayne A Highland Story,The castles of Athlin and Dunbayne. A Highland story. By Ann Radcliffe.,Gothic|Historical,Schöwerling,The castles of Athlin and Dunbayne
50,SC0049,1789,1789,Roche Regina Maria,"Roche, Regina Maria",The vicar of Lansdowne or country quarters a tale By Maria Regina Dalton In two volumes,"The vicar of Lansdowne; or, country quarters: a tale. By Maria Regina Dalton. In two volumes. ...",,,The vicar of Lansdowne
51,SC0050,1789,1789,Saint Pierre Bernardin de,"Saint Pierre, Bernardin de",The ship wreck or Paul and Mary An Indian tale In two volumes,"The ship-wreck: or, Paul and Mary. An Indian tale. In two volumes. ...",,,The ship-wreck
54,SC0068,1790,1789,Smith Charlotte Turner,"Smith, Charlotte Turner",Ethelinde or the recluse of the lake By Charlotte Smith In five volumes,"Ethelinde, or the Recluse of the Lake",Courtship|Gothic,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164.",Ethelinde
55,SC0054,1789,1789,Unknown,Unknown,Louisa Forrester or characters drawn from real life In three volumes,"Louisa Forrester; or, characters drawn from real life. In three volumes. ...",,,Louisa Forrester
56,SC0055,1789,1789,Unknown,Unknown,Seymour Castle or the history of Julia Cecilia an entertaining and interesting novel In two volumes,"Seymour Castle, or the history of Julia & Cecilia, an entertaining and interesting novel. In two volumes. ...",Gothic,,Seymour Castle
57,SC0058,1790,1790,Author of Anthony Leger,Author of Anthony Leger,Gabrielle de Vergy an historic tale In two volumes By the author of Anthony Leger Esq or the man of shifts,"Gabrielle de Vergy, an historic tale. In two volumes. ... By the author of Anthony Leger, Esq; or, the man of shifts.",Historical,,"Gabrielle de Vergy, an historic tale"
58,SC0059,1790,1790,"Bonhote, Rolf","Bonhote, Elizabeth",Ellen Woodley A novel in two volumes By Mrs Bonhote,"Ellen Woodley. A novel, in two volumes. By Mrs. Bonhote ...",,,Ellen Woodley
59,SC0064,1790,1790,M Donald A Andrew,"M'Donald, A. (Andrew)",Laura a novel By the author of The independent In two volumes,Laura; a novel. By the author of The independent. In two volumes. ...,,,Laura
60,SC0066,1790,1790,Purbeck Jane,"Purbeck, Elizabeth",Raynsford Park a novel In four volumes,"Raynsford Park, a novel. In four volumes. ...",,,Raynsford Park
61,SC0067,1790,1790,"Radcliffe, Ann Ward","Radcliffe, Ann Ward",A Sicilian Romance By The Authoress of The Castles of Athlin and Dunbayne In Two Volumes,A Sicilian Romance. By The Authoress of The Castles of Athlin and Dunbayne. In Two Volumes.,Gothic,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.|Literary Lab Corpus I",A Sicilian Romance
62,SC0069,1790,1790,Unknown,Unknown,Adeline or the orphan A novel In three volumes,Adeline; or the orphan. A novel. In three volumes. ...,,,Adeline
63,SC0071,1790,1790,Unknown,Unknown,The baron of Manstow a novel From the German In two volumes,"The baron of Manstow, a novel. From the German. In two volumes. ...",,,The baron of Manstow
64,SC0073,1790,1790,Unknown,Unknown,Valentine A novel In two volumes,Valentine. A novel. In two volumes. ...,Epistolary,,Valentine
65,SC0074,1790,1790,Williams Helen Maria,"Williams, Helen Maria",Julia a novel interspersed with some poetical pieces By Helen Maria Williams In two volumes,"Julia, a novel; interspersed with some poetical pieces. By Helen Maria Williams. In two volumes. ...",,,Julia
66,SC0076,1791,1791,"Inchbald, Mrs.","Inchbald, Mrs.",A Simple Story In Four Volumes By Mrs Inchbald,A Simple Story. In Four Volumes. By Mrs. Inchbald,Courtship | Jacobin,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164. | Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",A Simple Story
67,SC0077,1791,1791,Lady,Lady,Edwy son of Ethelred the Second an historic tale By a lady Addressed by permission to the Right Honourable the Countess of Westmorland In two volumes,Edwy; son of Ethelred the Second: an historic tale. By a lady. Addressed (by permission) to the Right Honourable the Countess of Westmorland. In two volumes. ...,Historical,,Edwy
68,SC0080,1791,1791,"Radcliffe, Ann Ward","Radcliffe, Ann Ward",The Romance of the Forest Interspersed with some Pieces of Poetry By the Authoress of A Sicilian Romance c In Three Volumes,"The Romance of the Forest: Interspersed with some Pieces of Poetry. By the Authoress of ""A Sicilian Romance,"" &c. In Three Volumes.",Gothic,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.|Literary Lab Corpus I",The Romance of the Forest
70,SC0082,1791,1791,Reeve Clara 1729 1807,"Reeve, Clara",The school for widows A novel,"The school for widows. A novel. In three volumes. By Clara Reeve, ...",Gothic,,The school for widows
72,SC0101,1792,1791,Sadler Robert,"Sadler, Robert",Wanley Penson or the melancholy man a miscellaneous history in three volumes,"Wanley Penson; or, the melancholy man: a miscellaneous history. In three volumes. ...",,,Wanley Penson
73,SC0084,1791,1748,Smollett Tobias George,"Smollett, Tobias George",The adventures of Roderick Random Written by Dr Smollet and abridged by R Lewis,Roderick Random,Nautical,"Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",Roderick Random
74,SC0144,1795,1748,Smollett Tobias George,"Smollett, Tobias George",The adventures of Roderick Random In two volumes,Roderick Random,Nautical,"Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",Roderick Random
75,SC0085,1791,1791,Unknown,Unknown,Benedicta A novel In two volumes In two volumes sic,Benedicta. A novel. In two volumes. In two volumes. [sic] ...,,,Benedicta
76,SC0086,1791,1791,Unknown,Unknown,The Duchess of York an English story In two volumes,The Duchess of York: an English story. In two volumes. ...,Epistolary|Gothic|Historical,Schöwerling,The Duchess of York
77,SC0087,1791,1791,Unknown,Unknown,The history of Eliza Warwick In two volumes,The history of Eliza Warwick. In two volumes. ...,,,The history of Eliza Warwick
78,SC0088,1791,1791,White James,"White, James",The adventures of King Richard Coeur de lion To which is added The death of Lord Falkland a poem By J White In three volumes,"The adventures of King Richard Coeur-de-lion. To which is added, The death of Lord Falkland: a poem. By J. White, ... In three volumes. ...",Gothic|Historical,Schöwerling,The adventures of King Richard Coeur-de-lion
79,SC0089,1791,1790,Whitfield Henry,"Whitfield, Henry",Villeroy or the fatal moment a novel in three volumes By a lady,"Villeroy; or, the fatal moment: a novel, in three volumes. By a lady. ...",Epistolary,,Villeroy
81,SC0092,1792,1792,"Bage, Robert","Bage, Robert",Man as he is A novel In four volumes,Man As He Is. A Novel. In Four Volumes.,Gothic,,Man As He Is
82,SC0094,1792,1773,Graves Richard,"Graves, Richard",The spiritual Quixote or the summer s ramble of Mr Geoffry Wildgoose A comic romance,"The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. In three volumes. ...",,,The spiritual Quixote
83,SC0095,1792,1792,"Holcroft, Thomas","Holcroft, Thomas",Anna St Ives A Novel By Thomas Holcroft,Anna St Ives: A Novel. By Thomas Holcroft.,Courtship|Jacobin|Gothic|Epistolary,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164. | Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.|Literary Lab Corpus I",Anna St Ives
84,SC0100,1792,1792,Robinson Mary,"Robinson, Mary",Vancenza or the dangers of credulity In two volumes By Mrs M Robinson,"Vancenza; or, the dangers of credulity. In two volumes. By Mrs. M. Robinson, ...",Gothic,,Vancenza
85,SC0102,1792,1792,Unknown,Unknown,Edelfrida a novel,"Edelfrida, a novel. ...",Gothic,,Edelfrida
86,SC0104,1793,1793,Parsons Mrs Eliza,"Parsons, Mrs. (Eliza)",Woman as she should be or memoirs of Mrs Menville A novel In four volumes By Mrs Parsons,"Woman as she should be; or, memoirs of Mrs. Menville. A novel. In four volumes. By Mrs. Parsons, ...",Epistolary,,Woman as she should be
87,SC0105,1793,1793,Pilkington Mrs Mary,"Pilkington, Mrs. (Mary)",Rosina a novel In five volumes By the author of Delia an interesting tale,"Rosina: a novel. In five volumes. By the author of Delia, an interesting tale, ...",Gothic,,Rosina
91,SC0110,1793,1793,"Smith, Charlotte Turner","Smith, Charlotte Turner",The Old Manor House A Novel In Four Volumes By Charlotte Smith,"The Old Manor House. A Novel, In Four Volumes. By Charlotte Smith.",Gothic,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",The Old Manor House
92,SC0111,1793,1793,Towers Joseph,"Towers, Joseph",The history of Philip Waldegrave In two volumes,The history of Philip Waldegrave. In two volumes. ...,,,The history of Philip Waldegrave
93,SC0112,1794,1794,"Austen, Jane","Austen, Jane",Lady Susan in The Works of Jane Austen Volume VI Minor Works,"Lady Susan [in, The Works of Jane Austen; Volume VI; Minor Works]",,,Lady Susan
94,SC0113,1794,1794,"Bennett, Agnes Maria","Bennett, Anna Maria",Ellen Countess of Castle Howel a novel in four volumes By Mrs Bennett,"Ellen, Countess of Castle Howel, a novel, in four volumes. By Mrs. Bennett. ...",Gothic,,"Ellen, Countess of Castle Howel"
97,SC0116,1794,1794,"Godwin, William","Godwin, William",Things as they are or the adventures of Caleb Williams By William Godwin In three volumes,"Things As They Are; or, The Adventure of Caleb Williams ... In Three Volumes.",Jacobin|Gothic|Picaresque,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",Things As They Are
98,SC0436,1816,1794,"Godwin, William","Godwin, William",Things as they are or The adventures of Caleb Williams,"Things As They Are; or, The Adventure of Caleb Williams ... In Three Volumes.",Jacobin|Gothic|Picaresque,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",Things As They Are
99,SC0117,1794,1794,Gunning Miss Elizabeth,"Gunning, Elizabeth",Lord Fitzhenry a novel By Miss Gunning In three volumes,Lord Fitzhenry: a novel. By Miss Gunning. In three volumes.,Epistolary,,Lord Fitzhenry
101,SC0119,1794,1794,Gunning Miss Elizabeth,"Gunning, Elizabeth",The packet a novel By Miss Gunning,The packet: a novel. By Miss Gunning. ...,,,The packet
102,SC0120,1794,1794,"Holcroft, Thomas","Holcroft, Thomas",The Adventures of Hugh Trevor By Thomas Holcroft,The Adventures of Hugh Trevor. By Thomas Holcroft.,Jacobin,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",The Adventures of Hugh Trevor
103,SC0121,1794,1794,Kelly Isabella,"Kelly, Isabella",Madeline or the castle of Montgomery a novel In three volumes,"Madeline; or, the castle of Montgomery, a novel. In three volumes.",Gothic,,Madeline
104,SC0123,1794,1794,Parsons Mrs Eliza,"Parsons, Mrs. (Eliza)",Lucy a novel in three volumes By Mrs Parsons,"Lucy: a novel, in three volumes. By Mrs. Parsons. ...",Gothic,,Lucy
105,SC0124,1794,1794,"Radcliffe, Ann Ward","Radcliffe, Ann Ward",The Mysteries of Udolpho A Romance Interspersed with Some Pieces of Poetry By Ann Radcliffe Author of the Romance of the Forest etc In Four Volumes,"The Mysteries of Udolpho, A Romance; Interspersed with Some Pieces of Poetry. By Ann Radcliffe, Author of the Romance of the Forest, etc. In Four Volumes",Gothic,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.|Literary Lab Corpus I",The Mysteries of Udolpho
106,SC0128,1794,1794,Smith Charlotte Turner,"Smith, Charlotte Turner",The banished man A novel By Charlotte Smith In four volumes,The banished man. A novel. By Charlotte Smith. In four volumes. ...,Anti-Jacobin,,The banished man
107,SC0129,1794,1794,Thomson James Rev,"Thomson, James, Rev.",Major Piper or the adventures of a musical drone A novel In two volumes By the Rev J Thomson,Major Piper; or the adventures of a musical drone. A novel. In two volumes. By the Rev. J. Thomson. ...,,,Major Piper
108,SC0130,1794,1794,Unknown,Unknown,Edward De Courcy an ancient fragment In two volumes,"Edward De Courcy, an ancient fragment. In two volumes. ...",Historical,,"Edward De Courcy, an ancient fragment"
109,SC0131,1794,1794,Unknown,Unknown,Ellen Rushford A novel In two volumes,Ellen Rushford. A novel. In two volumes. ...,,,Ellen Rushford
110,SC0132,1794,1794,Unknown,Unknown,The cavern of death A moral tale,The cavern of death. A moral tale.,Gothic,,The cavern of death
111,SC0133,1795,1795,Author of The weird sisters,Author of The weird sisters,Waldeck Abbey A novel In two volumes By the author of The weird sisters,"Waldeck Abbey. A novel. In two volumes. By the author of The weird sisters, ...",Gothic,,Waldeck Abbey
112,SC0134,1795,1795,"Fenwick, E.","Fenwick, E.",Secresy Or The Ruin On The Rock In Three Volumes By A Woman,"Secresy; Or, The Ruin On The Rock. In Three Volumes. By A Woman.",Gothic,Literary Lab Corpus I,Secresy
113,SC0135,1795,1761,Hawkesworth John,"Hawkesworth, John",Almoran and Hamet an oriental tale In two volumes By Dr Hawkesworth,Almoran and Hamet: an oriental tale. In two volumes.,,,Almoran and Hamet
114,SC0138,1795,1795,Kelly Isabella,"Kelly, Isabella",The abbey of Saint Asaph A novel In three volumes By the author of Madeline of sic the castle of Montgomery,"The abbey of Saint Asaph. A novel. In three volumes. By the author of Madeline, of [sic] the castle of Montgomery. ...",Gothic,,The abbey of Saint Asaph
115,SC0140,1795,1795,"Mackenzie, Anna Maria","Mackenzie, Anna Maria",Mysteries elucidated by A M Mackenzie,Mysteries elucidated [by A.M. Mackenzie].,Historical,Schöwerling,Mysteries elucidated
116,SC0143,1795,1795,Smith Charlotte Turner,"Smith, Charlotte Turner",Montalbert A novel By Charlotte Smith In three volumes,Montalbert. A novel. By Charlotte Smith. In three volumes. ...,,,Montalbert
118,SC0146,1795,1795,"Thomas, Ann, of Millbrook, Cornwall","Thomas, Ann, of Millbrook, Cornwall",Adolphus de Biron A novel founded on the French Revolution,Adolphus de Biron. A novel. Founded on the French Revolution. In two volumes. ...,Epistolary|Anti-Jacobin,,Adolphus de Biron
119,SC0147,1795,1795,Unknown,Unknown,Montford Castle or the knight of the white rose An historical romance of the eleventh century In two volumes,Montford Castle; or the knight of the white rose. An historical romance of the eleventh century. In two volumes. ...,Historical,,Montford Castle
120,SC0148,1795,1799,W chter Leonhard,"Wächter, Leonhard",The sorcerer a tale From the German of Veit Weber,The sorcerer: a tale. From the German of Veit Weber.,Gothic,,The sorcerer
122,SC0150,1795,1795,Warner Richard,"Warner, Richard",Netley Abbey a gothic story In two volumes,Netley Abbey: a gothic story. ...,Gothic|Historical,Schöwerling,Netley Abbey
123,SC0151,1795,1795,Yearsley Ann,"Yearsley, Ann",The royal captives a fragment of secret history Copied from an old manuscript by Ann Yearsley,"The royal captives: a fragment of secret history. Copied from an old manuscript, by Ann Yearsley. ...",,,The royal captives
124,SC0152,1796,1796,Arnold Samuel James,"Arnold, Samuel James",The creole or the haunted island In three volumes By S Arnold junior,"The creole; or, the haunted island. In three volumes. By S. Arnold, junior. ...",Gothic,,The creole
125,SC0153,1796,1796,"Bage, Robert","Bage, Robert",Hermsprong or Man As He Is Not A Novel In Three Volumes By the Author of Man As He Is,"Hermsprong; or, Man As He Is Not. A Novel. In Three Volumes. By the Author of Man As He Is.",Jacobin|Gothic,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.|Literary Lab Corpus I",Hermsprong
126,SC0154,1796,1796,"Bonhote, Rolf","Bonhote, Elizabeth",Bungay Castle a novel By Mrs Bonhote In two volumes,Bungay Castle: a novel. By Mrs. Bonhote. ... In two volumes. ...,Gothic|Historical,Schöwerling,Bungay Castle
127,SC0155,1796,1796,"Brewer, James Norris","Brewer, James Norris",The mansion house a novel In two volumes Written by a young gentleman,The mansion house: a novel. In two volumes. Written by a young gentleman. ...,,,The mansion house
130,SC0158,1796,1796,"Burney, Fanny","Burney, Fanny",Camilla or a picture of youth By the author of Evelina and Cecilia In three volumes,"Camilla: or, A Picture of Youth. By The Author of Evelina and Cecilia. In five Volumes.",Courtship,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164.",Camilla
131,SC0160,1796,1796,"Burney, Sarah Harriet","Burney, Sarah Harriet",Clarentine A novel In three volumes,Clarentine. A novel. In three volumes. ...,,,Clarentine
132,SC0161,1796,1796,Carl Grosse,Carl Grosse,Horrid Mysteries A Story,Horrid Mysteries: A Story,Gothic,Literary Lab Corpus I,Horrid Mysteries
133,SC0162,1796,1796,Cullen Stephen,"Cullen, Stephen",The castle of Inchvally a tale alas too true By Stephen Cullen In three volumes,"The castle of Inchvally: a tale-alas! too true. By Stephen Cullen, ... In three volumes. ...",Gothic|Historical,Schöwerling,The castle of Inchvally
134,SC0163,1796,1796,Cullen Stephen,Cullen Stephen,The haunted priory or The fortunes of the house of Rayo a romance founded principally on historical facts,"The haunted priory; or, The fortunes of the house of Rayo : a romance founded principally on historical facts",Gothic|Historical,Literary Lab Corpus I|Schöwerling,The haunted priory
135,SC0164,1796,1796,De Crespigny Mary,"Crespigny, Mary Catherine Champion de, Lady",The pavilion A novel In four volumes,The pavilion. A novel. In four volumes. ...,,,The pavilion
137,SC0167,1796,1796,Gunning Miss Elizabeth,"Gunning, Elizabeth",The foresters A novel Altered from the French by Miss Gunning In two volumes,The foresters. A novel. Altered from the French by Miss Gunning. In four volumes. ...,,,The foresters
138,SC0168,1796,1796,"Hays, Mary","Hays, Mary",Memoirs of Emma Courtney By Mary Hays In Two Volumes,Memoirs of Emma Courtney. By Mary Hays. In two volumes. ...,Epistolary,,Memoirs of Emma Courtney
139,SC0169,1796,1796,"Inchbald, Mrs.","Inchbald, Mrs.",Nature and Art In Two Volumes By Mrs Inchbald,Nature and Art. In Two Volumes. By Mrs. Inchbald.,Jacobin,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",Nature and Art
140,SC0170,1796,1796,Jacson Frances,"Margaretta Jacson, Frances",Plain sense A novel,Plain sense. A novel.,,,Plain sense
141,SC0171,1796,1796,"Lewis, M. G. (Matthew Gregory)","Lewis, M. G. (Matthew Gregory)",The Monk A Romance By M G Lewis Esq M P In Three Volumes The Second Edition,"The Monk: A Romance. By M. G. Lewis, Esq. M.P. In Three Volumes ... The Second Edition.",Gothic,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.|Literary Lab Corpus I",The Monk
142,SC0172,1796,1799,Meeke Mary,"Meeke, Mary",The abbey of Clugny A novel By Mrs Meeke In three volumes,"The abbey of Clugny. A novel. By Mrs. Meeke, ... In three volumes. ...",Gothic,,The abbey of Clugny
143,SC0173,1796,1796,Palmer John jun,"Palmer, John, jun.",The haunted cavern a Caledonian tale By John Palmer Jun,"The haunted cavern: a Caledonian tale. By John Palmer, Jun.",Gothic,,The haunted cavern
